Name,Skill,Position,Salary,Assigned Team
Chris Thompson,80,GK,80,Team 4
Brayden Hughes,87,DEF,100,Team 4
Jaxon Griffin,79,DEF,65,Team 4
Gavin Richardson,87,MID,95,Team 4
Dominic Bell,86,MID,95,Team 4
Sebastian Perry,95,FWD,150,Team 4
Colton Gray,91,FWD,125,Team 4
Alex Carter,85,GK,90,Team 1
Logan Brooks,86,DEF,95,Team 1
Mason Reed,82,DEF,75,Team 1
Dylan Morgan,91,MID,115,Team 1
Connor Hayes,89,MID,105,Team 1
Julian Scott,92,FWD,130,Team 1
Tyler Jenkins,80,FWD,70,Team 1
Blake Henderson,87,GK,95,Team 5
Daniel Foster,90,DEF,110,Team 5
Maxwell Flores,81,DEF,72,Team 5
Nathan Wright,92,MID,120,Team 5
Hunter Cooper,83,MID,85,Team 5
Chase Murphy,86,FWD,95,Team 5
Adrian Collins,85,FWD,90,Team 5
Jordan Smith,88,GK,100,Team 3
Caleb Fisher,84,DEF,85,Team 3
Ethan Howard,80,DEF,70,Team 3
Ashton Phillips,90,MID,110,Team 3
Spencer Ward,84,MID,85,Team 3
Xavier Bryant,90,FWD,120,Team 3
Landon Powell,89,FWD,110,Team 3
Ryan Mitchell,83,GK,85,Team 2
Owen Parker,88,DEF,100,Team 2
Lucas Bennett,85,DEF,90,Team 2
Bentley Rivera,88,MID,100,Team 2
Austin Torres,82,MID,80,Team 2
Elijah Sanders,93,FWD,140,Team 2
Zachary Nelson,86,FWD,92,Team 2
